Date,Open,High,Low,Close,Volume
08/24/2022,4.95070E+004,5.05971E+004,4.93190E+004,5.01836E+004,0.00000E+000
08/25/2022,4.98453E+004,5.02588E+004,4.93566E+004,4.97701E+004,0.00000E+000
08/26/2022,5.02964E+004,5.03715E+004,4.70448E+004,4.73267E+004,0.00000E+000
08/29/2022,4.60110E+004,4.70448E+004,4.58982E+004,4.63117E+004,0.00000E+000
08/30/2022,4.68756E+004,4.71745E+004,4.48081E+004,4.57855E+004,0.00000E+000
08/31/2022,4.67628E+004,4.71011E+004,4.56351E+004,4.64621E+004,0.00000E+000
09/01/2022,4.58982E+004,4.61238E+004,4.47705E+004,4.56727E+004,0.00000E+000
09/02/2022,4.69508E+004,4.72139E+004,4.52968E+004,4.57855E+004,0.00000E+000
09/06/2022,4.57103E+004,4.58231E+004,4.30414E+004,4.31165E+004,0.00000E+000
09/07/2022,4.33421E+004,4.42818E+004,4.32669E+004,4.38308E+004,0.00000E+000
09/08/2022,4.40187E+004,4.47329E+004,4.38871E+004,4.47329E+004,0.00000E+000
09/09/2022,4.84920E+004,4.97513E+004,4.84544E+004,4.95070E+004,0.00000E+000
09/12/2022,5.18376E+004,5.22097E+004,5.10858E+004,5.20631E+004,0.00000E+000
09/13/2022,4.94318E+004,4.98317E+004,4.64433E+004,4.69508E+004,0.00000E+000
09/14/2022,4.70636E+004,4.71011E+004,4.53908E+004,4.61614E+004,0.00000E+000
09/15/2022,4.62742E+004,4.66877E+004,4.50712E+004,4.57103E+004,0.00000E+000
09/16/2022,4.57103E+004,4.57479E+004,4.46390E+004,4.53344E+004,0.00000E+000
09/19/2022,4.33421E+004,4.52588E+004,4.33421E+004,4.51088E+004,0.00000E+000
09/20/2022,4.36804E+004,4.46390E+004,4.32857E+004,4.37932E+004,0.00000E+000
09/21/2022,4.46202E+004,4.60106E+004,4.32669E+004,4.38683E+004,0.00000E+000
09/22/2022,4.42067E+004,4.50900E+004,4.33797E+004,4.46202E+004,0.00000E+000
09/23/2022,4.39435E+004,4.39999E+004,4.27406E+004,4.34173E+004,0.00000E+000
09/26/2022,4.40563E+004,4.46401E+004,4.38308E+004,4.43946E+004,0.00000E+000
09/27/2022,4.66125E+004,4.71214E+004,4.34736E+004,4.41315E+004,0.00000E+000
09/28/2022,4.43194E+004,4.55599E+004,4.40176E+004,4.52968E+004,0.00000E+000
09/29/2022,4.46202E+004,4.54472E+004,4.34924E+004,4.49585E+004,0.00000E+000
09/30/2022,4.44886E+004,4.68004E+004,4.44510E+004,4.50712E+004,0.00000E+000
10/03/2022,4.45074E+004,4.56347E+004,4.41315E+004,4.53344E+004,0.00000E+000
10/04/2022,4.63869E+004,4.71387E+004,4.61336E+004,4.70636E+004,0.00000E+000
10/05/2022,4.62366E+004,4.72891E+004,4.57855E+004,4.66501E+004,0.00000E+000
10/06/2022,4.66501E+004,4.72139E+004,4.60520E+004,4.64245E+004,0.00000E+000
10/07/2022,4.54847E+004,4.55934E+004,4.46765E+004,4.49585E+004,0.00000E+000
10/10/2022,4.48457E+004,4.49021E+004,4.41104E+004,4.43194E+004,0.00000E+000
10/11/2022,4.41315E+004,4.43758E+004,4.34924E+004,4.38308E+004,0.00000E+000
10/12/2022,4.40939E+004,4.43570E+004,4.39503E+004,4.42443E+004,0.00000E+000
10/13/2022,4.21204E+004,4.52592E+004,4.20264E+004,4.49209E+004,0.00000E+000
10/14/2022,4.56351E+004,4.58231E+004,4.42443E+004,4.43570E+004,0.00000E+000
10/17/2022,4.53720E+004,4.56351E+004,4.49961E+004,4.52968E+004,0.00000E+000
10/18/2022,4.55599E+004,4.56727E+004,4.41691E+004,4.45074E+004,0.00000E+000
10/19/2022,4.43946E+004,4.46976E+004,4.41315E+004,4.45074E+004,0.00000E+000
10/20/2022,4.43194E+004,4.48457E+004,4.38683E+004,4.41315E+004,0.00000E+000
10/21/2022,4.39059E+004,4.46390E+004,4.36992E+004,4.45074E+004,0.00000E+000
10/24/2022,4.48457E+004,4.50712E+004,4.43570E+004,4.48833E+004,0.00000E+000
10/25/2022,4.48833E+004,4.74395E+004,4.48833E+004,4.71387E+004,0.00000E+000
10/26/2022,4.74868E+004,4.88491E+004,4.72327E+004,4.82665E+004,0.00000E+000
10/27/2022,4.82289E+004,4.82853E+004,4.75146E+004,4.80785E+004,0.00000E+000
10/28/2022,4.72515E+004,4.82477E+004,4.71951E+004,4.78906E+004,0.00000E+000
